event link,event name,Start Date,Start Time,End Date,End Time,Timezone,Event Description,,,,Price,Event Company Website,Event Company Name,Organizer: People Discription,Twitter,Facebook,Address,City,State,Zipcode,Country,Latitude,Longitude,ID - Check but NA,N/A,N/A
URL,Name,Start Date,Start Time,End Date,End Time,Time Zone,Summary,Min Price,,Max Price,,Organizer Website,Organizer,Organizer Summary,Twitter,Facebook,Venue Address,City,Region,Zip,Country,Latitude,Longitude,Event ID,,Language
https://www.eventbrite.com/e/algorythmtm-ai-for-all-tickets-418186255347,ALGORYTHM™️| AI FOR ALL,9/13/22,18:00,3/12/24,19:00,America/Chicago,"“The coming era of AI will not be the era of war, but be the era of deep compassion, non-violence, and love.” –Amit Ray ...or is it?",39.99 USD, - ,39.99 USD,39.99 USD - 39.99 USD,http://katusop.com,"Kat Usop, MSHI",Hi! I am a digital nomad innovator in Health & AI space (Biomedical R&D Eng'r by Profession). I create  & share knowledge from real-world experiences. I build sustainable ventures while traveling long...,itskatusop,,,HUNTSVILLE,AL,0,US,34.7303688,-86.5861037,418186255347,"Startups & Small Business, Business & Professional, Class, Training, or Workshop, Workshop, Startup, Ai, Artificial_intelligence, workshop_online",en-us
https://www.eventbrite.com/e/algorythmtm-ai-for-all-tickets-418204289287,ALGORYTHM™️| AI FOR ALL,9/13/22,18:00,9/23/24,20:00,America/Chicago,"“The coming era of AI will not be the era of war, but be the era of deep compassion, non-violence, and love.” –Amit Ray ...or is it?",39.99 USD, - ,39.99 USD,39.99 USD - 39.99 USD,http://katusop.com,"Kat Usop, MSHI",Hi! I am a digital nomad innovator in Health & AI space (Biomedical R&D Eng'r by Profession). I create  & share knowledge from real-world experiences. I build sustainable ventures while traveling long...,itskatusop,,,MILWAUKEE,WI,0,US,43.0389025,-87.9064736,418204289287,"Startups & Small Business, Business & Professional, Class, Training, or Workshop, Workshop, Startup, Ai, Artificial_intelligence, workshop_online",en-us
https://www.eventbrite.com/e/algorythmtm-artificial-intelligence-for-all-tickets-465659950447,ALGORYTHM™️| ARTIFICIAL INTELLIGENCE FOR ALL,11/11/22,18:00,5/11/28,21:00,Asia/Shanghai,"“The coming era of AI will not be the era of war, but be the era of deep compassion, non-violence, and love.” –Amit Ray ...or is it?",39.99 USD, - ,39.99 USD,39.99 USD - 39.99 USD,http://katusop.com,"Kat Usop, MSHI",Hi! I am a digital nomad innovator in Health & AI space (Biomedical R&D Eng'r by Profession). I create  & share knowledge from real-world experiences. I build sustainable ventures while traveling long...,itskatusop,,,Osaka-Kobe,,0,JP,34.6937249,135.5022535,465659950447,"Startups & Small Business, Business & Professional, Class, Training, or Workshop, Workshop, Startup, Ai, Artificial_intelligence, workshop_online",en-us
https://www.eventbrite.com/e/sensemaking-lecture-series-ai-and-education-tickets-621274196847,Sensemaking Lecture Series: AI and Education,5/10/23,16:00,5/10/24,17:00,America/Chicago,Monthly themed discussions on AI in education,0.00 USD, - ,0.00 USD,0.00 USD - 0.00 USD,,GRAILE,,,,,,,,,,,621274196847,"Education, Family & Education, Seminar or Talk, Ai, Learninganalytics, aied, futureeducation, aieducation",en-us
https://www.eventbrite.de/e/nlp-practitioner-zertifizierte-fortbildung-nach-dvnlp-tickets-605046970777,NLP-Practitioner | Zertifizierte Fortbildung nach DVNLP,6/3/23,9:30,12/3/23,16:30,Europe/Berlin,"Der NLP-Practitioner, DVNLP bietet Ihnen einen sicheren und fundierten Rahmen für persönliche Entwicklung. NLP ist eine kommunikative  ....",0.00 EUR, - ,0.00 EUR,0.00 EUR - 0.00 EUR,https://www.hendrik-franke.de,franke | Persönlichkeits- und Organisationsentw.,"Sie möchten sich beruflich oder privat verändern?Ich biete Ihnen einen sicheren und fundierten Rahmen für Ihre persönliche Entwicklung. Mit Professionalität, Intuition und innerer Ruhe schaffe ich ein...",,frankecoaching,Hinter der Magnikirche 6A,Braunschweig,NDS,38100,DE,52.2626756,10.5301445,605046970777,"Educators, Business & Professional, Class, Training, or Workshop, Nlp, Persönlichkeitentwicklung, Psychologie, Kommunikation, Braunschweig, nlp_practitioner",de-de
https://www.eventbrite.com/e/free-programming-and-ai-expertise-training-tickets-680523743837,Free Programming And AI Expertise Training,8/5/23,17:00,1/26/31,18:00,Africa/Lagos,Learn all needed to master programming and AI in short time through free pre-recorded videos.,0.00 USD, - ,0.00 USD,0.00 USD - 0.00 USD,https://www.witsdome.com,Nawas N. Adam,"I work as Robotics and AI engineer as well as a data scientist. I'm the creator of the free popular course on Udemy titled, ""Developing Data Science Projects Using Google Colab"" available here: https:...",,,,,,,,,,680523743837,"Science & Technology, Class, Training, or Workshop, Training, Workshop, Programming, Coding, Data_analytics, Software_development, Data_science, Artificial_intelligence, Online_Event, software_engineering",en-us
https://www.eventbrite.se/e/ai-monthly-mingle-tickets-707327715237,AI Monthly Mingle,9/13/23,18:00,12/6/23,20:00,Europe/Stockholm,"Welcome to our AI Monthly Mingle, an afterwork of diverse minds discussing AI, hosted by Women in AI Sweden. All genders welcome!",0.00 USD, - ,0.00 USD,0.00 USD - 0.00 USD,https://www.linkedin.com/showcase/women-in-ai-sweden/?viewAsMember=true,Women in AI Sweden,"Women in AI (WAI) is a nonprofit do-tank working towards inclusive AI that benefits global society. We are a community-driven initiative bringing empowerment, knowledge and active collaboration via ed...",,,20 Birger Jarlsgatan,Östermalm,Stockholms län,114 34,SE,59.3366156,18.0720358,707327715237,"Science, Science & Technology, Meeting or Networking Event, Networking, Tech, Technology, Professional, Ai, Sweden, Womeninai, Artificial_intelligence, women_empowerment",en-gb
https://www.eventbrite.com/e/ai-talk-series-tickets-719873078757,AI Talk Series,9/27/23,9:30,11/28/23,17:00,America/Denver,"Discover the various applications of Machine Learning in Business, Education, Computer Vision and Generative AI. Connect, Learn ,Share .",0.00 CAD, - ,0.00 CAD,0.00 CAD - 0.00 CAD,,Machine Learning Analyst Program at Norquest College,,,,,,,,,,,719873078757,"High Tech, Science & Technology, Seminar or Talk, Event, Ai, Talk, Series, ai_talk",en-ca
https://www.eventbrite.co.uk/e/professional-coach-training-acct-tickets-694974957807,Professional Coach Training - ACCT,9/30/23,9:00,2/11/24,17:00,Europe/Prague,This is an accredited coach certification program. It is an NLP-based coaching certificate program. This program is accredited by AC & ANLP.,88800.00 CZK, - ,128800.00 CZK,88800.00 CZK - 128800.00 CZK,https://www.praguetrainingacademy.com,PRAGUE TRAINING ACADEMY - INT. SCHOOL OF COACHING,"Prague Training Academy was founded in 2014 by 2 women entrepreneurs who wanted to bring training, development, and growth opportunities to the ex-pats who live in the Czech Republic. In 2016 PTA esta...",,,531/3223 Peroutkova,Praha 5,Hlavní město Praha,158 00,CZ,50.0585878,14.3771883,694974957807,"Other, Class, Training, or Workshop, Coaching, Nlp, Coachingtools, coaching_training, nlp_training, coaching_skills, coaching_group, coaching_certification, nlp_practitioner, coaching_in_the_workplace",en-us
